datum,lon,lat,typ,poznamka
23.9.2025 12:00,13.830,48.89,přirozeně,Stožec (NP Šumava) - aktuální oblast
22.9.2025 16:00,14.012,48.640,umělý převoz,Rohrbach/Böhmerwald - vypuštení u hranice
22.9.2025 10:00,14.020,48.080,přirozeně,Sattledt (A1) - uspání (OÖ)
21.9.2025 12:00,14.130,48.040,přirozeně,Sattledt - Kremsmünster (OÖ) - ranní pozorování
